listahanan_id,first_name,last_name,middle_name,suffix,birthdate,sex,civil_status,contact_number,house_no,street,purok,barangay,enrollment_date,remarks,member_1_first_name,member_1_last_name,member_1_middle_name,member_1_birthdate,member_1_sex,member_1_relationship,member_1_education_level,member_1_school_name,member_2_first_name,member_2_last_name,member_2_birthdate,member_2_sex,member_2_relationship,member_2_education_level,member_2_school_name,member_3_first_name,member_3_last_name,member_3_birthdate,member_3_sex,member_3_relationship,member_3_education_level,member_3_school_name
NHTS-LIPA-2026-001,Maria,Santos,Reyes,,1985-04-12,female,married,09171234561,123,P. Torres St.,Purok 1,Sabang,2022-01-15,Qualified 4Ps Household,Juan,Santos,Reyes,2010-06-15,male,child,junior_high,Sabang National High School,Ana,Santos,Reyes,2014-08-20,female,child,elementary,Sabang Elementary School,Pedro,Santos,Reyes,2021-02-10,male,child,daycare,Sabang Child Development Center
NHTS-LIPA-2026-002,Juana,Dela Cruz,Mendoza,,1990-09-25,female,married,09182345672,45,CM Recto Ave,Purok 2,Marawoy,2022-03-10,Active 4Ps Member,Mark,Dela Cruz,Mendoza,2009-11-12,male,child,senior_high,Lipa City National High School,Sofia,Dela Cruz,Mendoza,2015-04-05,female,child,elementary,Marawoy Elementary School,Gabriel,Dela Cruz,Mendoza,2020-07-19,male,child,daycare,Marawoy Daycare Center
NHTS-LIPA-2026-003,Corazon,Aquino,Rizal,,1988-11-30,female,widowed,09193456783,78,M.K. Lina St.,Purok 3,Tambo,2021-08-01,Solo Parent Household,Carlo,Aquino,Rizal,2008-02-14,male,child,senior_high,Tambo National High School,Bea,Aquino,Rizal,2012-10-18,female,child,elementary,Tambo Elementary School,,,
NHTS-LIPA-2026-004,Elena,Reyes,Gonzales,,1992-03-14,female,married,09204567894,12,President Laurel Highway,Purok 4,Bolbok,2023-02-20,Compliant Household,Daniel,Reyes,Gonzales,2013-07-22,male,child,elementary,Bolbok Elementary School,Grace,Reyes,Gonzales,2017-09-30,female,child,elementary,Bolbok Elementary School,Mateo,Reyes,Gonzales,2022-05-11,male,child,daycare,Bolbok Child Center
NHTS-LIPA-2026-005,Rosa,Villanueva,Mercado,,1984-07-08,female,married,09215678905,56,Gen. Luna St.,Purok 1,Lodlod,2020-11-12,Pre-qualified Listahanan,Joshua,Villanueva,Mercado,2007-12-04,male,child,senior_high,Lipa City Science High School,Chloe,Villanueva,Mercado,2011-05-17,female,child,junior_high,Lodlod National High School,Lucas,Villanueva,Mercado,2016-08-25,male,child,elementary,Lodlod Elementary School
NHTS-LIPA-2026-006,Teresa,Castillo,Bautista,,1991-12-19,female,married,09226789016,89,A. Mabini St.,Purok 5,Mataas na Lupa,2022-06-18,Active Member,Christian,Castillo,Bautista,2014-01-09,male,child,elementary,Mataas na Lupa Elem School,Mia,Castillo,Bautista,2018-06-21,female,child,daycare,Mataas na Lupa Daycare,,,
NHTS-LIPA-2026-007,Lourdes,Bautista,Alvarez,,1987-05-02,female,married,09237890127,101,J.P. Laurel St.,Purok 2,Banaybanay,2021-04-25,Compliant 4Ps Household,Angelo,Bautista,Alvarez,2010-09-14,male,child,junior_high,Banaybanay National HS,Samantha,Bautista,Alvarez,2015-11-03,female,child,elementary,Banaybanay Elementary School,,,
NHTS-LIPA-2026-008,Carmela,Ramos,Torres,,1989-10-15,female,married,09248901238,234,Katipunan St.,Purok 3,Antipolo del Norte,2022-09-01,Verified Household,Adrian,Ramos,Torres,2011-03-29,male,child,junior_high,Antipolo HS,Angelica,Ramos,Torres,2016-01-14,female,child,elementary,Antipolo Elementary School,Ethan,Ramos,Torres,2021-11-08,male,child,daycare,Antipolo Daycare
NHTS-LIPA-2026-009,Divina,Garcia,Fernandez,,1993-01-22,female,separated,09259012349,67,San Jose St.,Purok 1,Kayumanggi,2023-01-10,Solo Parent,John,Garcia,Fernandez,2012-08-08,male,child,elementary,Kayumanggi Elem School,Hannah,Garcia,Fernandez,2017-04-12,female,child,elementary,Kayumanggi Elem School,,,
NHTS-LIPA-2026-010,Esperanza,Navarro,Cruz,,1986-06-11,female,married,09260123450,150,Lipa-Ibaan Rd,Purok 4,Inosloban,2020-05-15,Active Listahanan 4Ps,Rafael,Navarro,Cruz,2009-04-30,male,child,junior_high,Inosloban-Marawoy National HS,Patricia,Navarro,Cruz,2013-10-22,female,child,elementary,Inosloban Elementary School,Simon,Navarro,Cruz,2019-03-17,male,child,daycare,Inosloban Daycare Center
